[09:19:34.195 18/12/1990]	N	0.719	N	[09:19:34.914 18/12/1990]
[09:19:34.914 18/12/1990]	N	0.383	V	[09:19:35.297 18/12/1990]
[09:19:35.297 18/12/1990]	V	1.047	N	[09:19:36.344 18/12/1990]
[09:19:36.344 18/12/1990]	N	0.727	N	[09:19:37.070 18/12/1990]
[09:19:37.070 18/12/1990]	N	0.711	N	[09:19:37.781 18/12/1990]
[09:19:37.781 18/12/1990]	N	0.727	N	[09:19:38.508 18/12/1990]
[09:19:38.508 18/12/1990]	N	0.391	V	[09:19:38.898 18/12/1990]
[09:19:38.898 18/12/1990]	V	1.078	N	[09:19:39.977 18/12/1990]
[09:19:39.977 18/12/1990]	N	0.734	N	[09:19:40.711 18/12/1990]
[09:19:40.711 18/12/1990]	N	0.734	N	[09:19:41.445 18/12/1990]
[09:19:41.445 18/12/1990]	N	0.727	N	[09:19:42.172 18/12/1990]
[09:19:42.172 18/12/1990]	N	0.375	V	[09:19:42.547 18/12/1990]
[09:19:42.547 18/12/1990]	V	1.094	N	[09:19:43.641 18/12/1990]
[09:19:43.641 18/12/1990]	N	0.734	N	[09:19:44.375 18/12/1990]
[09:19:44.375 18/12/1990]	N	0.734	N	[09:19:45.109 18/12/1990]
[09:19:45.109 18/12/1990]	N	0.727	N	[09:19:45.836 18/12/1990]
[09:19:45.836 18/12/1990]	N	0.383	V	[09:19:46.219 18/12/1990]
[09:19:46.219 18/12/1990]	V	1.086	N	[09:19:47.305 18/12/1990]
[09:19:47.305 18/12/1990]	N	0.727	N	[09:19:48.031 18/12/1990]
[09:19:48.031 18/12/1990]	N	0.734	N	[09:19:48.766 18/12/1990]
[09:19:48.766 18/12/1990]	N	0.727	N	[09:19:49.492 18/12/1990]
[09:19:49.492 18/12/1990]	N	0.719	N	[09:19:50.211 18/12/1990]
[09:19:50.211 18/12/1990]	N	0.727	N	[09:19:50.938 18/12/1990]
[09:19:50.938 18/12/1990]	N	0.719	N	[09:19:51.656 18/12/1990]
[09:19:51.656 18/12/1990]	N	0.742	N	[09:19:52.398 18/12/1990]
[09:19:52.398 18/12/1990]	N	0.375	V	[09:19:52.773 18/12/1990]
[09:19:52.773 18/12/1990]	V	1.086	N	[09:19:53.859 18/12/1990]
[09:19:53.859 18/12/1990]	N	0.734	N	[09:19:54.594 18/12/1990]
[09:19:54.594 18/12/1990]	N	0.734	N	[09:19:55.328 18/12/1990]
[09:19:55.328 18/12/1990]	N	0.734	N	[09:19:56.063 18/12/1990]
[09:19:56.063 18/12/1990]	N	0.375	V	[09:19:56.438 18/12/1990]
[09:19:56.438 18/12/1990]	V	1.102	N	[09:19:57.539 18/12/1990]
[09:19:57.539 18/12/1990]	N	0.727	N	[09:19:58.266 18/12/1990]
[09:19:58.266 18/12/1990]	N	0.734	N	[09:19:59.000 18/12/1990]
[09:19:59.000 18/12/1990]	N	0.727	N	[09:19:59.727 18/12/1990]
[09:19:59.727 18/12/1990]	N	0.727	N	[09:20:00.453 18/12/1990]
[09:20:00.453 18/12/1990]	N	0.719	N	[09:20:01.172 18/12/1990]
